Year,Month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film Noir,Game Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2007,November,0.62279,0,0.6228,0.81125,0.54194,0.52832,0.65792,0.3804,0.49396,0.63184,0.65692,0,0,0.56752,0.71811,0.67747,0.48125,0.6358,0,0,0.52767,0.72396,0.66975,0.57253,0,0.64435,0.53843,0.55093
2007,December,0.70926,0,0.70794,0.71709,0.63175,0.52083,0.5746,0.38288,0.51801,0.71032,0.66642,0,0,0.4463,0.70556,0.60432,0.53158,0.62941,0,0,0.4839,0.74683,0.59514,0.54222,0,0.64407,0.53951,0.33056
2008,January,0.68037,0,0.75619,0.7182,0.54511,0.54187,0.49158,0.35095,0.50017,0.63081,0.71122,0,0,0.45753,0.65716,0.62171,0.48114,0.59035,0.40132,0,0.50263,0.74561,0.53207,0.65132,0,0.59317,0.54145,0.21053
2008,February,0.65738,0,0.61357,0.56905,0.54727,0.61117,0.5268,0.33512,0.52216,0.54971,0.60766,0,0,0.45405,0.60429,0.56608,0.48603,0.50987,0.51462,0,0.57576,0.62047,0.5117,0.65302,0,0.61788,0.47222,0.07603
2008,March,0.72861,0,0.70056,0.7067,0.47754,0.59774,0.5414,0.3516,0.52145,0.62371,0.60051,0,0,0.4707,0.54914,0.55361,0.48861,0.62715,0.53608,0,0.57977,0.65417,0.56959,0.69845,0,0.58889,0.47865,0.20619
2008,April,0.70525,0,0.74709,0.59616,0.486,0.59961,0.59322,0.38462,0.50108,0.6047,0.65026,0,0,0.50015,0.42427,0.26154,0.48917,0.64063,0.44103,0,0.5524,0.66359,0.52756,0.63419,0,0.57256,0.45799,0.04615
2008,May,0.73675,0,0.74593,0.53125,0.44392,0.58263,0.50629,0.43717,0.4988,0.63443,0.5815,0,0,0.51038,0.36918,0.28962,0.41914,0.66431,0.41038,0,0.53653,0.63502,0.66096,0.54442,0,0.51443,0.47608,0.0
2008,June,0.70888,0,0.73938,0.60769,0.50769,0.56617,0.46713,0.42297,0.47566,0.63814,0.61933,0,0,0.41941,0.44957,0.21367,0.37308,0.49658,0.01026,0,0.43445,0.8641,0.63205,0.5144,0,0.52061,0.44988,0.0
2008,July,0.69364,0,0.77072,0.73905,0.54358,0.59976,0.46439,0.48477,0.44516,0.74614,0.71134,0,0,0.48325,0.58321,0.39433,0.44072,0.46031,0.0,0,0.48921,0.84493,0.64497,0.47751,0,0.46263,0.47552,0.29639
2008,August,0.74734,0,0.71543,0.7695,0.54642,0.58772,0.61014,0.42689,0.44935,0.69399,0.70503,0,0,0.37394,0.54043,0.46099,0.40989,0.49894,0.0,0,0.52444,0.84233,0.62842,0.51182,0,0.55532,0.52069,0.375
